q1_named_function,q1_score,q2_measurable_outcome,q2_score,q3_tense,q3_score,classification_score,classification,justification,passage_id,firm,year,page_number,tier,source_document,source_type,llm_model,passage_text,validation_sample,human_label,agreement
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"The passage mentions AI only as a vague risk/opportunity with no specific business function, measurable outcome, or evidence of deployment, stating its benefits and threats are 'still yet to be fully understood.'",5a0cf183,AO World,2024,49,tier1,AOWorld_2024.pdf,annual_report,claude-sonnet-4-6,"y The transitional risks of climate change; as we seek to move towards reducing our carbon footprint and operating in a more environmentally friendly way, we could face Control and mitigation increased operating costs and inefficiencies. The Group has in place an £80m Revolving Credit Facility y Whi",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"The passage offers only a vague acknowledgment that AI benefits and threats are 'yet to be fully understood' and that the company is 'starting to harness' the technology, with no specific function, measurable outcome, or evidence of deployment.",77fa061b,AO World,2024,49,tier1,AOWorld_2024.pdf,annual_report,claude-sonnet-4-6,"The Group has in place an £80m Revolving Credit Facility y Whilst an opportunity in many ways, the benefits and which has been extended with the existing lenders to April potential threats that Artificial Intelligence (AI) may pose 2027. Given the profitable performance of the Group over are still y",no,,
YES,1,NO,0,MIXED,1,2,Transitional,"The passage names specific functions (customer support, data and analytics, overhead cost control) and references both current progress and future improvements, but lacks any measurable metrics or timelines to substantiate the claims.",cfb30a1b,AO World,2025,18,tier1,AOWorld_2025.pdf,annual_report,claude-sonnet-4-6,Centre platform that will improve customer support experience and operational insight. 3. Ongoing overhead control We also made progress in our data and analytics We maintain our disciplined approach to overhead strategy—expanding our use of machine learning cost control.,no,,
YES,1,NO,0,MIXED,1,2,Transitional,"The passage names specific functions (machine learning, advanced analytics for business decisions and personalised customer interactions, overhead cost control) and uses both current ('made progress', 'expanding') and forward-looking ('investing in') language, but provides no measurable outcomes, metrics, or timelines.",e3050ae7,AO World,2025,18,tier_1_and_2,AOWorld_2025.pdf,annual_report,claude-sonnet-4-6,3. Ongoing overhead control We also made progress in our data and analytics We maintain our disciplined approach to overhead strategy—expanding our use of machine learning cost control. We are investing in making operational and advanced analytics to inform business efficiencies to deal with inflati,no,,
YES,1,NO,0,MIXED,1,2,Transitional,"The passage names specific functions (machine learning for business decisions, personalised customer interactions, overhead/headcount cost control) and uses both current and ongoing tense, but provides no measurable outcomes, metrics, or timelines to substantiate the claims.",14fcaf28,AO World,2025,18,tier_1_and_2,AOWorld_2025.pdf,annual_report,claude-sonnet-4-6,Ongoing overhead control We also made progress in our data and analytics We maintain our disciplined approach to overhead strategy—expanding our use of machine learning cost control. We are investing in making operational and advanced analytics to inform business efficiencies to deal with inflationa,no,,
YES,1,NO,0,ASPIRATIONAL,0,1,Symbolic,"While a specific function (personalised customer experience via AI) is named, the language is forward-looking ('we will improve') with no measurable outcomes or evidence of current deployment.",e7220ac7,ASOS,2021,11,tier_1_and_2,ASOS_2021.pdf,annual_report,claude-sonnet-4-6,"We expect performance in the next 12 months to be more muted given the current consumer • Building an industry-leading position in tackling customers for greater choice in responsible fashion. dynamics, but we remain confident that this is a Original ambition for FY21 modern slavery throughout our s",no,,
YES,1,NO,0,ASPIRATIONAL,0,1,Symbolic,"While a specific function (personalised customer experience) is named, the AI application is framed as a future ambition ('we will improve') with no measurable outcomes or evidence of current deployment.",62e45f90,ASOS,2021,11,tier_1_and_2,ASOS_2021.pdf,annual_report,claude-sonnet-4-6,"dynamics, but we remain confident that this is a Original ambition for FY21 modern slavery throughout our supply chain From that focus, ASOS has set two overarching pillars, We will improve our inspiring and personalised Planet and People, which are underpinned by four long-term growth driver for AS",no,,
YES,1,NO,0,MIXED,1,2,Transitional,"The passage names a specific application (customer experience via data and AI, flexible multi-brand platform trial) with current deployment evidence (completed trial, phase 1 rollout), but lacks measurable outcomes or metrics tied to the AI application specifically.",73afbb97,ASOS,2021,11,tier1,ASOS_2021.pdf,annual_report,claude-sonnet-4-6,"customer experience through the application of data • The co-founding of the Fast Forward auditing key goals: The development and rollout of our flexible and and artificial intelligence to deliver the most engaging programme, designed to tackle issues in UK multi-brand platform continued at pace. In",no,,
NO,0,YES,1,CURRENT,1,2,Transitional,"The passage references a specific equity stake (3.4% interest in Action Artificial Intelligence Limited) which is a measurable, current financial disclosure, but it describes an investment relationship rather than any named AI business function or application being deployed.",96e50519,ASOS,2021,67,tier1,ASOS_2021.pdf,annual_report,claude-sonnet-4-6,"Accordingly, this is shown as an increase (2020: increase) in the capital contribution 1 ASOS.com Limited has a 7.2% interest in Needle and Thread Design Holdings Limited. balance in the table below. 2 ASOS Projects Limited has a 3.4% interest in Action Artificial Intelligence Limited.",no,,
NO,0,YES,1,CURRENT,1,2,Transitional,"The passage references a specific equity stake (3.4% interest in Action Artificial Intelligence Limited) which is a measurable, current financial fact, but provides no description of any AI business function or application.",8dfab06f,ASOS,2021,67,tier1,ASOS_2021.pdf,annual_report,claude-sonnet-4-6,"balance in the table below. 2 ASOS Projects Limited has a 3.4% interest in Action Artificial Intelligence Limited. Capital Investment contribution Total ASOS Intermediate Holdings Limited, Mornington & Co (No.",no,,
NO,0,YES,1,CURRENT,1,2,Transitional,"The passage references a specific equity stake (3.4%) in an AI-related entity, providing a measurable financial detail, but does not describe any specific AI business function, application, or operational use case.",7dbbca92,ASOS,2021,67,tier1,ASOS_2021.pdf,annual_report,claude-sonnet-4-6,"2 ASOS Projects Limited has a 3.4% interest in Action Artificial Intelligence Limited. Capital Investment contribution Total ASOS Intermediate Holdings Limited, Mornington & Co (No. 1) Limited and Mornington & Co (No.",no,,
YES,1,YES,1,MIXED,1,3,Substantive,"The passage names a specific application (Partner Fulfils programme, Microsoft Azure AI capabilities), references measurable timelines (three-year partnership to 2025, five-year cloud agreement), and describes both current deployment (signed agreements, launched policies) and future capability unlocking.",68252479,ASOS,2022,19,tier1,ASOS_2022.pdf,annual_report,claude-sonnet-4-6,"Health-related life Anti-Slavery Microsoft events policies International Cloud We launched a new package of policies to In January, we signed a new three-year February saw us sign a new cloud agreement provide crucial support to colleagues of all partnership to 2025 with Anti-Slavery with Microsoft ",no,,
YES,1,NO,0,CURRENT,1,2,Transitional,"The passage names specific applications (Partner Fulfils programme, demand conversion, stock availability) and uses present tense framing around Azure AI capabilities, but the text appears garbled/corrupted with unrelated content mixed in, and no measurable outcomes or metrics are provided.",5f816227,ASOS,2022,19,tier1,ASOS_2022.pdf,annual_report,claude-sonnet-4-6,"Harnessing Microsoft Azure and pregnancy loss, the menopause, cancer ambitious Fashion with Integrity programme. its AI capabilities enables us to unlock new treatment, gender reassignment surgery or Anti-Slavery International has acted as ASOS’ experiences and tech capabilities, such as domestic vi",no,,
YES,1,NO,0,CURRENT,1,2,Transitional,"The passage references specific functions (Partner Fulfils programme, demand conversion, stock availability) and current deployment, but the text appears garbled/fragmented from OCR or formatting errors, making it difficult to extract measurable outcomes, and the AI capability description lacks quantified metrics.",1f7df36f,ASOS,2022,19,tier1,ASOS_2022.pdf,annual_report,claude-sonnet-4-6,"its AI capabilities enables us to unlock new treatment, gender reassignment surgery or Anti-Slavery International has acted as ASOS’ experiences and tech capabilities, such as domestic violence, enabling ASOSers to take ‘critical friend’ since 2017, providing advice, ASOS’ Partner Fulfils programme,",no,,
NO,0,YES,1,CURRENT,1,2,Transitional,"The passage is a corporate structure listing that mentions a 2.9% equity interest in 'Action Artificial Intelligence Limited' as a current holding, providing a measurable stake but no description of any specific AI function, application, or business outcome.",2ff3905c,ASOS,2022,161,tier1,ASOS_2022.pdf,annual_report,claude-sonnet-4-6,Netherlands 100% Payment processing company ASOS Payments Holdings Limited UK 100% Holding company Cornwall (Jersey) Limited Jersey 100% Vehicle for issue of convertible bond ASOS Holdings Limited UK 90% Brand management company 1 ASOS.com Limited has a 7.2% interest in Needle and Thread Design Hold,no,,
NO,0,YES,1,CURRENT,1,2,Transitional,"The passage references a specific equity stake (2.9%) in an AI company, providing a measurable current fact, but describes no actual AI application, business function, or deployment context.",88babda8,ASOS,2022,161,tier1,ASOS_2022.pdf,annual_report,claude-sonnet-4-6,"2 ASOS.com additionally has a branch registered in the Netherlands. 3 ASOS Projects Limited has a 2.9% interest in Action Artificial Intelligence Limited. ASOS Intermediate Holdings Limited, Mornington & Co (No.",no,,
NO,0,YES,1,CURRENT,1,2,Transitional,"The passage references a specific measurable ownership stake (2.9%) in an AI-named entity and is stated as a current fact, but provides no description of any AI business function, application, or operational use case.",2f1bdee0,ASOS,2022,161,tier1,ASOS_2022.pdf,annual_report,claude-sonnet-4-6,"3 ASOS Projects Limited has a 2.9% interest in Action Artificial Intelligence Limited. ASOS Intermediate Holdings Limited, Mornington & Co (No. 1) Limited, Mornington & Co (No.",no,,
YES,1,NO,0,MIXED,1,2,Transitional,"The passage names specific functions (customer experience, resource allocation, data science and machine learning) and uses present-tense language indicating ongoing deployment, but lacks any measurable outcomes, metrics, or timelines to substantiate the claims.",0fe31ad4,ASOS,2023,13,tier1,ASOS_2023.pdf,annual_report,claude-sonnet-4-6,"One aspect of this is better prioritisation, ensuring we are allocating resource to projects that will generate a return. This culture of operational excellence will be aided by increased access to an improved use of data throughout our organisation and we continue to innovate in this area. We conti",no,,
YES,1,NO,0,MIXED,1,2,Transitional,"The passage names specific functions (customer experience, returns management, data science/ML deployment across business areas) and uses present tense indicating current deployment, but lacks any measurable outcomes, metrics, or timelines to substantiate the claims.",f8e729bb,ASOS,2023,13,tier1,ASOS_2023.pdf,annual_report,claude-sonnet-4-6,This culture of operational excellence will be aided by increased access to an improved use of data throughout our organisation and we continue to innovate in this area. We continue to develop our data science and machine learning capabilities which we deploy across our business areas and to improve,no,,
YES,1,NO,0,CURRENT,1,2,Transitional,"The passage names specific business functions (customer experience, returns management) and describes current deployment of data science and machine learning, but lacks any measurable outcomes, metrics, or timelines to substantiate the claims.",703a633f,ASOS,2023,13,tier1,ASOS_2023.pdf,annual_report,claude-sonnet-4-6,"We continue to develop our data science and machine learning capabilities which we deploy across our business areas and to improve the customer experience. A key focus area is returns. While we continue to believe that free returns are a core part of our customer proposition, there are good returns ",no,,
YES,1,NO,0,ASPIRATIONAL,0,1,Symbolic,"While AI and advanced analytics are named as a function, the passage frames their use entirely as a future opportunity with no measurable outcomes, timelines, or evidence of current deployment.",ff99488a,ASOS,2023,27,tier1,ASOS_2023.pdf,annual_report,claude-sonnet-4-6,"We could also retender to seek We could also fail to implement or take full advantage of these better price alternatives for goods and services at appropriate technologies, potentially reducing our competitiveness and break points in agreements. increasing other costs, such as through GHG taxation. ",no,,
YES,1,NO,0,ASPIRATIONAL,0,1,Symbolic,"While AI and advanced analytics are named with specific applications (demand response, waste reduction, overstocking), the language is entirely future/conditional ('could ensure,' 'to respond quicker') with no evidence of deployment or measurable outcomes.",84068bd5,ASOS,2023,27,tier1,ASOS_2023.pdf,annual_report,claude-sonnet-4-6,"increasing other costs, such as through GHG taxation. Opportunity: Reacting quickly to embrace new technologies There is also a risk that suppliers pass on the associated cost of could ensure we retain competitive advantage, for example the their investment in this technology to us, which could incr",no,,
YES,1,NO,0,ASPIRATIONAL,0,1,Symbolic,"While specific functions are named (demand response, waste reduction from overstocking), the language is entirely future-oriented ('could ensure,' 'could be realised') with no measurable outcomes or evidence of current deployment.",159465fc,ASOS,2023,27,tier1,ASOS_2023.pdf,annual_report,claude-sonnet-4-6,"Opportunity: Reacting quickly to embrace new technologies There is also a risk that suppliers pass on the associated cost of could ensure we retain competitive advantage, for example the their investment in this technology to us, which could increase our use of Artificial Intelligence and advanced a",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"The passage only vaguely references AI/ML as a horizon risk across industries without naming any specific business application, measurable outcome, or evidence of current deployment at ASOS.",09910248,ASOS,2023,53,tier1,ASOS_2023.pdf,annual_report,claude-sonnet-4-6,"• Providing regular training to ASOSers on relevant legislative or regulatory requirements, including an annual compliance passport which all ASOSers are required to undertake to ensure they are aware of their responsibilities. Risks on our horizon • The accelerated use of Artificial for the start o",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"The passage discusses AI/ML only in broad risk-horizon terms without naming any specific business application, measurable outcome, or evidence of current deployment, focusing instead on vague future-oriented risk awareness.",e5093544,ASOS,2023,53,tier1,ASOS_2023.pdf,annual_report,claude-sonnet-4-6,"Risks on our horizon • The accelerated use of Artificial for the start of our FY26 period. As for Intelligence and Machine Learning across many affected businesses, based on A key part of our Risk Management approach all industries with both free and cost- current understanding the changes is identi",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"The passage is fragmented and incoherent, mentioning AI/ML and risk management only in vague, generic terms with no specific business function, measurable outcome, or evidence of current deployment.",6da70bc0,ASOS,2023,53,tier1,ASOS_2023.pdf,annual_report,claude-sonnet-4-6,"As for Intelligence and Machine Learning across many affected businesses, based on A key part of our Risk Management approach all industries with both free and cost- current understanding the changes is identifying, monitoring and planning effective off-the-shelf tools coming to ASOS must make are b",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"The passage is a corporate subsidiary listing with only an incidental 2.9% equity interest in 'Action Artificial Intelligence Limited' noted, with no description of AI function, application, or measurable outcome.",d5bc5ce3,ASOS,2023,168,tier1,ASOS_2023.pdf,annual_report,claude-sonnet-4-6,Limited China 100% Indirect Discontinued internet retailer ASOS Payments UK Limited UK 100% Indirect Payment processing company ASOS Payments Europe B.V. Netherlands 100% Indirect Payment processing company ASOS Payments Holdings Limited UK 100% Indirect Holding company Cornwall (Jersey) Limited Jer,no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"This passage is a corporate subsidiary listing with only a passing reference to a minority investment in 'Action Artificial Intelligence Limited,' with no description of AI use, function, deployment, or measurable outcomes.",e2d2e599,ASOS,2023,168,tier1,ASOS_2023.pdf,annual_report,claude-sonnet-4-6,Netherlands 100% Indirect Payment processing company ASOS Payments Holdings Limited UK 100% Indirect Holding company Cornwall (Jersey) Limited Jersey 100% Indirect Vehicle for issue of convertible bond ASOS Holdings Limited UK 90% Indirect Brand management company 1 ASOS.com Limited has a 7.2% inter,no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"The passage is a corporate registry listing of subsidiaries and registered offices, with only an incidental mention of a 2.9% interest in 'Action Artificial Intelligence Limited' — no AI function, application, outcome, or deployment is described.",b2634d93,ASOS,2023,168,tier1,ASOS_2023.pdf,annual_report,claude-sonnet-4-6,2 ASOS.com Limited additionally has a branch registered in the Netherlands 3 ASOS Projects Limited has a 2.9% interest in Action Artificial Intelligence Limited. All UK incorporated entities share the same registered office as ASOS Plc and non-UK entities’ registered offices are detailed below: Enti,no,,
NO,0,YES,1,CURRENT,1,2,Transitional,"The passage is a corporate structure listing that mentions a 2.9% equity interest in 'Action Artificial Intelligence Limited' as a current holding, providing a measurable stake but no description of any specific AI function or application.",5c5ee347,ASOS,2024,186,tier1,ASOS_2024.pdf,annual_report,claude-sonnet-4-6,Netherlands 100% Indirect Payment processing company ASOS Payments Holdings Limited UK 100% Indirect Holding company Cornwall (Jersey) Limited Jersey 100% Indirect Vehicle for issue of convertible bond ASOS Holdings Limited UK 90% Indirect Brand management company 1 ASOS.com Limited has a 7.2% inter,no,,
NO,0,YES,1,CURRENT,1,2,Transitional,"The passage references a specific equity stake (2.9%) in an AI company, providing a measurable financial detail, but offers no description of any AI business function, application, or operational use case.",5f8b9a52,ASOS,2024,186,tier1,ASOS_2024.pdf,annual_report,claude-sonnet-4-6,2 ASOS.com Limited additionally has a branch registered in the Netherlands. 3 ASOS Projects Limited has a 2.9% interest in Action Artificial Intelligence Limited. 186 ASOS PLC  ANNUAL REPORT AND ACCOUNTS 2024,no,,
NO,0,YES,1,CURRENT,1,2,Transitional,"The passage discloses a specific equity stake (2.9%) in an AI company, providing a measurable financial fact, but offers no description of any AI business function, application, or operational use case.",0fefc020,ASOS,2024,186,tier1,ASOS_2024.pdf,annual_report,claude-sonnet-4-6,3 ASOS Projects Limited has a 2.9% interest in Action Artificial Intelligence Limited. 186 ASOS PLC  ANNUAL REPORT AND ACCOUNTS 2024,no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"The passage only vaguely references AI as an emerging risk with potential impact across unspecified group risks, with no named business function, measurable outcome, or evidence of current deployment.",03bfd5c2,ASOS,2025,57,tier1,ASOS_2025.pdf,annual_report,claude-sonnet-4-6,"understanding of our emerging risks. Whilst continuing work is needed to Risks assigned Risk Averse risk appetites should be develop potential responses based on managed more conservatively, have stronger and possible scenarios, key focus areas in our more formal controls and increased focus for dis",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"The passage only vaguely references AI's 'potential impact' on unspecified risks without naming any specific business function, measurable outcome, or evidence of current deployment, framing AI entirely as a future consideration within a generic risk appetite discussion.",f6239f64,ASOS,2025,57,tier1,ASOS_2025.pdf,annual_report,claude-sonnet-4-6,"Whilst continuing work is needed to Risks assigned Risk Averse risk appetites should be develop potential responses based on managed more conservatively, have stronger and possible scenarios, key focus areas in our more formal controls and increased focus for discussions included: assurance activiti",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"The passage only vaguely references AI as an evolving risk factor with potential impacts across unspecified areas, with no named business function, measurable outcome, or evidence of current deployment.",51f62416,ASOS,2025,57,tier1,ASOS_2025.pdf,annual_report,claude-sonnet-4-6,"Risks assigned Opportunity Seeking risk appetites relate to areas we are more  The evolution of artificial intelligence (AI) likely to take risk for reward, can have less formal and and the potential impact it could have on more limited controls and might not be subject to numerous risks to our Gro",no,,
YES,1,NO,0,ASPIRATIONAL,0,1,Symbolic,"While AI and machine learning are named as areas of expertise for a board member, there is no specific deployment, measurable outcome, or evidence of current AI implementation — it is a biographical description of credentials rather than a description of actual AI use.",82ac4fc3,ASOS,2025,74,tier1,ASOS_2025.pdf,annual_report,claude-sonnet-4-6,"development and revitalised the clothing innovation, growth and operational Before joining Google in 2019, Marie held brand as Trading Director. Christine has excellence. She brings deep expertise the roles of Chief Marketing Officer at held Board positions with numerous listed, in AI and machine le",no,,
YES,1,NO,0,ASPIRATIONAL,0,1,Symbolic,"While AI and machine learning expertise is named in the context of a board member's credentials, there is no deployed application, measurable outcome, or evidence of actual AI implementation — it is a biographical description of qualifications rather than a description of AI use.",b3ad73e0,ASOS,2025,74,tier1,ASOS_2025.pdf,annual_report,claude-sonnet-4-6,"Christine has excellence. She brings deep expertise the roles of Chief Marketing Officer at held Board positions with numerous listed, in AI and machine learning, product Calvin Klein Inc and Chief Digital Officer private and PE-backed businesses such as strategy and scalable systems to at PVH Corp,",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"This passage is a fragmented executive biography describing board and leadership credentials, with only a vague mention of 'AI and machine learning' expertise without any specific application, measurable outcome, or evidence of deployed AI use.",5e0c03f7,ASOS,2025,74,tier1,ASOS_2025.pdf,annual_report,claude-sonnet-4-6,"She brings deep expertise the roles of Chief Marketing Officer at held Board positions with numerous listed, in AI and machine learning, product Calvin Klein Inc and Chief Digital Officer private and PE-backed businesses such as strategy and scalable systems to at PVH Corp, its Parent Company. Marie",no,,
YES,1,NO,0,CURRENT,1,2,Transitional,"The passage names specific business functions (marketing, supply chain, e-commerce, customer experience) and describes past deployment of automation and machine learning, but provides no measurable outcomes or metrics to substantiate the claims.",2e723753,ASOS,2025,74,tier1,ASOS_2025.pdf,annual_report,claude-sonnet-4-6,"Recently, she multiple leadership roles spanning USA and successfully transformed chaired Remuneration Committees for global grocery, supply chain, devices the company’s marketing functions. Hilton Food Group plc and Coca-Cola and e-commerce, where she helped Current external appointments Europacifi",no,,
YES,1,NO,0,CURRENT,1,2,Transitional,"The passage references specific functions (customer experience innovation, operations modernisation via automation and machine learning) in a current/past context describing a board member's credentials, but lacks any measurable outcomes or metrics.",dd6c7226,ASOS,2025,74,tier1,ASOS_2025.pdf,annual_report,claude-sonnet-4-6,"Hilton Food Group plc and Coca-Cola and e-commerce, where she helped Current external appointments Europacific Partners plc, and was Board innovate customer experience and Advisor to Unilever and River Island. modernise operations through advanced Global Vice President of Ads Marketing automation an",no,,
YES,1,NO,0,ASPIRATIONAL,0,1,Symbolic,"While marketing automation and machine learning are named as functions, the passage is largely a fragmented list of board member credentials and external appointments with no measurable outcomes, timelines, or evidence of deployed AI implementation.",26847105,ASOS,2025,74,tier1,ASOS_2025.pdf,annual_report,claude-sonnet-4-6,"modernise operations through advanced Global Vice President of Ads Marketing automation and machine learning. at Google, Corporate Board Member Current external appointments at American Advertising Federation Special Advisor at Interpath Advisory. Current external appointments and Advisor to the Mar",no,,
NO,0,YES,1,CURRENT,1,2,Transitional,"The passage references a current 2.9% equity interest in 'Action Artificial Intelligence Limited' as a measurable fact, but provides no description of any specific AI business function or application being deployed.",05c3fdd7,ASOS,2025,176,tier1,ASOS_2025.pdf,annual_report,claude-sonnet-4-6,Netherlands 100% Indirect Payment processing company ASOS Payments Holding Limited UK 100% Indirect Holding company Cornwall (Jersey) Limited Jersey 100% Indirect Vehicle for issue of convertible bond ASOS Holdings Limited UK 90% Indirect Brand management company 24.8.2024 Limited UK 25% Indirect Br,no,,
