passage_id,firm,year,human_label,old_llm_label,new_llm_label,justification,changed
9b4dddf4,Allegro,2021,Symbolic,Symbolic,Symbolic,"FRAGMENTED TEXT — the passage is a PDF extraction artefact with incomplete, mixed, and cut-off sentences that render it incoherent and unclassifiable on substance.",False
0fe31ad4,ASOS,2023,Symbolic,Transitional,Symbolic,"FRAGMENTED TEXT — the passage is cut off mid-sentence ('We conti') and contains no specific AI mention, only vague references to data use and operational excellence with no named AI application or measurable outcome.",True
73aec12e,Allegro,2023,Symbolic,Transitional,Symbolic,"FRAGMENTED TEXT: the passage mixes table of contents entries, GRI disclosure codes, and a sentence about machine learning that is cut off mid-phrase, rendering the text incoherent and unclassifiable on its merits.",True
189b82e5,Allegro,2025,Symbolic,Symbolic,Symbolic,"FRAGMENTED TEXT — the passage contains broken grammar, mid-sentence cuts, and incoherent structure that make meaning impossible to reliably determine, triggering immediate Symbolic classification with score 0.",False
c668c1c1,Allegro,2025,Symbolic,Symbolic,Symbolic,FRAGMENTED TEXT — the passage is a table of contents or report header entry listing governance risk categories without any substantive AI-related content or coherent descriptive sentences.,False
ffe9fd7f,Allegro,2025,Symbolic,Symbolic,Symbolic,"This passage is an AI risk disclosure describing potential harms from AI output in general terms, with no specific operational deployment described, triggering automatic Symbolic classification under Step 2 category (i) — AI risk management or ethics policies without any operational deployment described.",False
a2aef007,HelloFresh,2025,Transitional,Substantive,Symbolic,"FRAGMENTED TEXT — the passage is cut off mid-sentence ('technology co') and contains no mention of AI whatsoever, only general technology expenditure figures.",True
315c8550,Allegro,2025,Symbolic,Symbolic,Symbolic,"FRAGMENTED TEXT: the passage is cut off mid-sentence ('violating the l'), and the content itself is a generic AI risk disclosure with no specific operational AI application described, triggering both the fragmentation rule and the automatic Symbolic category for risk disclosures about AI as a general industry trend.",False
e5492c06,Allegro,2023,Symbolic,Symbolic,Symbolic,"FRAGMENTED TEXT — the passage is incoherent, with sentences cut off and mixed together in a way that renders meaning unreadable, requiring immediate Symbolic classification with score 0.",False
a883e833,Boozt,2021,Symbolic,Transitional,Symbolic,"FRAGMENTED TEXT — the passage is incoherent, with sentences cut off mid-word ('webstor'), mixed together, and grammatically broken, indicating a PDF extraction artefact.",True
2db7183b,Allegro,2021,Symbolic,Transitional,Symbolic,"FRAGMENTED TEXT: the passage is a PDF extraction artefact consisting of multiple unrelated sentence fragments that are cut off mid-phrase and incoherent, with no discernible meaning and no AI content whatsoever.",True
da5086e2,Redcare Pharmacy,2024,Symbolic,Symbolic,Symbolic,"Classified as Symbolic under Step 2 rule (g) and (j): the statement 'Artificial Intelligence will play a crucial role in our journey ahead' is a generic aspirational claim with no specific application named, no measurable outcome, and no evidence of current deployment.",False
513b8a27,Mytheresa,2022,Symbolic,Symbolic,Symbolic,"This passage describes a board member's prior involvement with AI topics at a previous employer (Tesla), which falls under the automatic Symbolic category of a biography referencing AI work at a previous employer, with no specific AI application or deployment described for the reporting company.",False
c8e14327,Moonpig,2024,Symbolic,Symbolic,Symbolic,"Automatic Symbolic classification applied under Step 2 category (a): the passage explicitly references board/director training on artificial intelligence as a topic, with no operational AI deployment described.",False
17e8d287,Boozt,2023,Transitional,Transitional,Symbolic,"FRAGMENTED TEXT — the passage contains broken, incoherent sentences that are clearly PDF extraction artefacts, making it impossible to reliably interpret meaning.",True
8f7bae1c,Moonpig,2025,Symbolic,Symbolic,Symbolic,"Automatic Symbolic classification applied under Step 2 category (a): the passage explicitly describes Board Directors receiving training on artificial intelligence as a topic, with no operational AI deployment described.",False
7a37e5bd,Allegro,2023,Symbolic,Symbolic,Symbolic,"FRAGMENTED TEXT — the passage is a clearly truncated PDF extraction artefact with sentences cut off mid-phrase, rendering it incoherent and unclassifiable beyond Symbolic.",False
8da81300,AO World,2024,Symbolic,Symbolic,Symbolic,"FRAGMENTED TEXT — the passage ends mid-sentence ('other key s') and contains no mention of AI, making it unclassifiable on AI relevance grounds and qualifying as a PDF extraction artefact.",False
25b2c81f,Allegro,2021,Symbolic,Symbolic,Symbolic,"FRAGMENTED TEXT — the passage is a PDF extraction artefact with sentences cut off mid-word ('artificial intell'), mixed unrelated fragments, and no coherent meaning can be inferred.",False
1b3276ab,Redcare Pharmacy,2025,Transitional,Transitional,Symbolic,"FRAGMENTED TEXT — the passage is a PDF extraction artefact with sentences cut off mid-phrase and unrelated content mixed together, making coherent meaning impossible to determine.",True
8e2828f5,Zalando,2024,Symbolic,Symbolic,Symbolic,"The passage fails Q1 because 'generative AI solutions for the fashion industry' is too vague to identify a specific named application, fails Q2 with no measurable outcomes, and fails Q3 as the language is entirely future-oriented ('will continue collaborating to develop'), with no evidence of current deployment described.",False
34d8830d,Allegro,2025,Symbolic,Transitional,Symbolic,"FRAGMENTED TEXT — the passage is a clear PDF extraction artefact with sentences cut off mid-word ('frame-'), mixed unrelated topics, and broken grammar that renders the meaning incoherent.",True
c9560ab9,Allegro,2021,Symbolic,Transitional,Symbolic,"FRAGMENTED TEXT — the passage is clearly a PDF extraction artefact with sentences cut off mid-phrase, mixed unrelated clauses, and broken grammar that renders meaning unrecoverable.",True
38a2717e,Allegro,2023,Transitional,Substantive,Symbolic,"FRAGMENTED TEXT — the passage is a PDF extraction artefact with sentences cut off mid-phrase, mixed with GRI content index headers, and unreadable as coherent meaning, requiring immediate Symbolic classification with score 0.",True
104f00a9,THG,2023,Transitional,Substantive,Symbolic,"FRAGMENTED TEXT — the passage is a PDF extraction artefact with incomplete sentences, mixed table-of-contents entries, and incoherent grammar that renders meaning unrecoverable.",True
868e929b,Allegro,2021,Symbolic,Substantive,Symbolic,"FRAGMENTED TEXT: the passage is a PDF extraction artefact with sentences cut off mid-phrase and mixed together, rendering it incoherent and unclassifiable on substance.",True
88498c21,Allegro,2023,Substantive,Substantive,Symbolic,"FRAGMENTED TEXT — the passage ends mid-sentence ('focused on the integration o') and mixes unrelated content (worker count statistic inserted mid-sentence), making it incoherent and unreadable as a complete unit of meaning.",True
6033a4ad,ASOS,2025,Symbolic,Transitional,Symbolic,"Automatic Symbolic classification applied under rule (f): the only AI mention is a corporate subsidiary listing where a company name contains 'Artificial Intelligence' (Action Artificial Intelligence Limited), with no operational AI activity described.",True
56e26e75,Redcare Pharmacy,2025,Symbolic,Transitional,Symbolic,"FRAGMENTED TEXT: the passage is a PDF extraction artefact with sentences cut off mid-phrase ('in the sho'), mixed unrelated content, and incoherent grammar, making meaning impossible to determine.",True
f31af4f6,HelloFresh,2025,Transitional,Transitional,Symbolic,"This passage describes employee upskilling and AI literacy training, which falls under the automatic Symbolic category (a) — board or employee training on AI as a topic — and contains no specific operational AI application or measurable outcome.",True
7432a7ae,Allegro,2021,Transitional,Transitional,Symbolic,"FRAGMENTED TEXT — the passage is a PDF extraction artefact with sentences cut off mid-phrase, mixed unrelated content, and broken grammar that makes meaning impossible to determine reliably.",True
910ae3c6,Zalando,2025,Symbolic,Symbolic,Symbolic,"Automatic Symbolic classification applied under Step 2 rule (d): the passage contains macroeconomic commentary about AI investment globally, not describing anything this company is doing with AI.",False
f7501d1d,Moonpig,2024,Symbolic,Symbolic,Symbolic,"This passage is an emerging risk disclosure monitoring AI as a general industry trend with no specific operational application named, triggering automatic Symbolic classification under Step 2 category (c) and (j).",False
4938eec4,Zalando,2023,Symbolic,Symbolic,Symbolic,"Classified as Symbolic under Step 2 rule (j) and (g): the passage is purely aspirational ('excited to see how we can leverage generative AI') with no specific named application, no measurable outcomes, and no evidence of current deployment.",False
2b66d1f9,Allegro,2022,Symbolic,Transitional,Symbolic,"FRAGMENTED TEXT: the passage is a PDF extraction artefact with sentences cut off mid-phrase, mixed unrelated clauses, and no coherent meaning discernible.",True
72a97cbc,Allegro,2025,Symbolic,Transitional,Symbolic,"FRAGMENTED TEXT — the passage is incoherent, mixing unrelated clauses about court cases, consumer misleading, and AI adoption in a grammatically broken and unreadable manner consistent with a PDF extraction artefact.",True
