passage_id,firm,year,page_number,passage_text,llm_label,human_label
9629a184,Allegro,2021,89,ALLEGRO.EU S.A. GROUP CONSOLIDATED MANAGEMENT REPORT for the years ended 31 December 2021 WORKS ON THE NEW EU LEGAL The following items illustrate selected areas of data CYBERSECURITY While fines for individual breaches that may be FRAMEWORK FOR AI privacy protection which are of particular relevanc,Symbolic,
05401626,Moonpig,2025,66,"Examples of emerging risks that we continue to monitor include: • The pace of technological change in AI. While current developments present significant opportunities, we remain vigilant to future advancements, such as the impact of generative AI on search engine marketing, that could alter customer",Symbolic,
b8273568,Moonpig,2024,79,"For FY24, specific examples of alignment with values include: Be Brave is reflected in Raise the Bar is apparent Keep It Simple is reflected Think Team can be the delivery of significant both in the ambitious pace in organisation structure seen in the way all projects including the of operational de",Symbolic,
700bacc4,Allegro,2023,97,"Disruptions in the machine learning tools, any failure to avoid or limit or other factors cause the Group to significantly marketing spend with new platform strategy to functioning of the Group’s e-commerce marketplace losses from fraudulent transactions could damage increase its 1P retail business ",Symbolic,
1464fd41,Redcare Pharmacy,2024,130,Appendices. Abbreviations. ABDA Federal Union of German Associations of Pharmacists NACE Statistical Classification of Economic Activities in the European APAC Asian Pacific Community B2B Business-to-business NPS Net promoter score B2C Business-to-consumer OECD The Organisation for Economic Co-opera,Symbolic,
f5101e2e,Allegro,2025,43,"by applying advanced technology solutions such as aim to provide a straightforward and trustworthy subsequently, across all of Europe. To ensure that machine learning, artificial intelligence and robotics. shopping journey, encompassing every aspect the vision becomes true, we identified 7 key pilla",Symbolic,
254125b9,Westwing,2025,155,"A group-wide framework for data retention and deletion has been established to set standards for storing, archiving and deleting customer and personal data across all systems. In response to increasing use of AI-powered tools, Westwing has initiated a revision of its AI governance guidelines to ensu",Symbolic,
96d0aa7e,DocMorris,2025,18,"DocMorris | Annual Report 2025 | Segment Germany The use of artificial intelligence further increased productivity in the segments. The targeted use of AI-supported solutions – particu- larly in content creation, customer service and data analysis – has led to sustainable improvements in operational",Transitional,
67e1885c,HelloFresh,2025,19,"In 2025 we spent MEUR 199.1, or 2.9% in percentage of revenue (2024: MEUR 179.5, or 2.3% as percentage of revenue) on technology, which includes salaries for our developers and data engineers. In 2025, HelloFresh Group capitalized MEUR 47.4 (or 23.8% of total technology expenditure) of technology co",Symbolic,
d17506a9,ASOS,2023,13,"One aspect of this is better prioritisation, ensuring we are allocating resource to projects that will generate a return. This culture of operational excellence will be aided by increased access to an improved use of data throughout our organisation and we continue to innovate in this area. We conti",Symbolic,
c67a56b6,Zalando,2025,185,"We are currently developing a scalable EPR solution, which is not yet applicable to ABOUT YOU. As a crucial first step towards achieving efficient and accurate compliance across multiple European markets, our solution leverages machine learning to automate the classification of our vast product asso",Symbolic,
7c0be495,THG,2023,17,Our AI Roadmap AI Journey Begins Intelligent CS Fraud Detection Visual Demand Forecasting Vector Search Recommendations RECs - CEB+ & FBT+ Review Moderation Colour Matching Warehouse & Logistics Semantic Search CLV Prediction Optimisation Product Misattribution Sentiment & Topic Extraction Foundatio,Transitional,
0eaccfae,Westwing,2024,181,"Additionally, as Westwing’s sales volume increases, the purchasing team can secure better pricing, especially for proprietary products. Use of Artificial Intelligence (AI) and Automation The integration of AI is transforming industries across the board. AI-driven tools can generate high- quality vis",Symbolic,
96002433,Allegro,2021,89,GROUP CONSOLIDATED MANAGEMENT REPORT for the years ended 31 December 2021 WORKS ON THE NEW EU LEGAL The following items illustrate selected areas of data CYBERSECURITY While fines for individual breaches that may be FRAMEWORK FOR AI privacy protection which are of particular relevance imposed would ,Symbolic,
661574a2,Moonpig,2024,103,"All Directors are required to complete our annual compliance training modules covering a range of subjects including anti-bribery and anti-corruption, anti-money laundering, data protection and anti-modern slavery. Additional training is available on request, where appropriate, so that Directors can",Symbolic,
3a52371a,Allegro,2025,73,"Strategic risk link Potential impacts of AI • Output created by artificial intelligence may be incorrect and misleading and requires significant and meaningful human control and oversight, as inability to discover any Risk Level High (Probability – 2, Impact 5) issues, errors or controversy within A",Symbolic,
72cb8e9b,Zalando,2025,99,"We continue focussing on profitability, and anticipate an adjusted EBIT of the group between 660 EUR and 740m EUR, implying an adjusted EBIT margin between 4.8% to 5.1%. The growth rate of the adjusted EBIT in B2B is significantly higher than the growth rate in adjusted EBIT in B2C. To support our l",Symbolic,
fbaedc80,Allegro,2023,164,"When Machine Translation cost-efficient solution. It employs state-of-the-art machine learning methods, involving human including the PFR School of Pioneers and partner- performing text searches, the company uses deep evaluators and automatic quality estimation models to enhance translation quality ",Transitional,
e6a167ad,Zalando,2022,100,"Preparing our workforce for the future The world of work is changing fast, and many of the jobs that will be undertaken by the next generation do not yet exist. The OECD estimates that up to 1 billion people need to be reskilled by 2030 to meet demand for new skills.39 In 2022, we saw a rising deman",Symbolic,
de514b8c,Redcare Pharmacy,2024,17,"Our experienced management team ensures strategic execution, driving our sustainable We view AI as a crucial driver of operational efficiency. In response to the surge in growth. generative AI advancements, we accelerated our AI strategy to enhance efficiency, reduce costs and introduce innovative f",Symbolic,
e8a5c211,Mytheresa,2025,31,"These new technologies, including artificial intelligence technologies, may also generate output that is misleading, insecure, inaccurate, harmful, or otherwise flawed, which may harm our reputation, business, or customers, or expose us to legal liability. We may be exposed to competitive risks rela",Symbolic,
d0d12370,Zalando,2023,128,"2.3.4 Illustration of opportunities Given the definition of an opportunity as a positive deviation from planned values, we identified no material opportunity that could help us significantly overachieve our targets. Going beyond the materiality boundary, our major initiatives such as deepening custo",Symbolic,
e8da2802,Allegro,2023,164,"It is also interested in topics such as reranking and features interaction architectures and personalization. Big numbers At MLR Computer Vision, the primary objective is to elevate the user experience by leveraging machine learning image processing algorithms. The team specifically concentrated on ",Substantive,
85857645,AO World,2022,19,"From easy automation to segment prioritises brands that embed social and artificial intelligence (“AI”) customer service, technology environmental responsibility to their everyday business has already been paving the way for a more seamless model7. In 2021, Gen Z and Millennials accounted for custom",Symbolic,
95b60b8c,Mytheresa,2022,56,"Additionally, by leveraging advancements in artificial intelligence and machine learning, we will refine our merchandising and marketing capabilities to incorporate visual search capabilities and enhance our size and fit optimization. Investment in Profitable Growth Opportunities. We continually eva",Symbolic,
38de23dd,Allegro,2025,73,"• Output created by artificial intelligence may contain content that is inappropriate, unethical or violating the law, which may result in the Group suffering consequences, i.a. legal or PR related. Strategic risk link Potential impacts of AI • Output created by artificial intelligence may be incorr",Symbolic,
6f44efe5,Allegro,2021,71,"In addition, machine learning and other forms of ketplace. The popularity of certain categories of results of operations and financial conditions could artificial intelligence are transforming aspects of items, such as computer and electronic products, be materially adversely affected. The rapid gro",Symbolic,
c6c9302d,Zalando,2025,77,"Growth was primarily bolstered by a front-loading of production, robust investment in artificial intelligence and supportive macroeconomic policies. However, global trade growth slowed in the second quarter of 2025 as higher tariffs artificially inflated import cost, forcing retailers to hike prices",Symbolic,
743df8fd,Westwing,2025,179,"Use of Artificial Intelligence (AI) and Automation The integration of AI is transforming industries across the board. AI-driven tools can generate high-q uality visuals and content, optimize product management, improve customer experience and enhance decision- making processes. These innovations cou",Symbolic,
531802b7,Allegro,2025,73,• Mall Group inability to succeed in transforming into a lean merchant that can source the right products and trade effectively on the Allegro marketplaces. This could lead to • Content created by artificial intelligence does not have ownership rights assigned sustained losses and such losses may no,Symbolic,
3cc0d3bf,Allegro,2021,50,"term, the Group aims to grow Allegro loans written years. The Ceneo management team has responded Full customer eligibility drove further acceleration to approximately 20% of annual marketplace GMV, The Group is a technology business with a world- to these challenges by focusing on investments to in",Symbolic,
682b2cfb,Allegro,2022,86,"Any disruption in the properly authorised or were transmitted in error, of these operations by optimising the 1P selection availability of their service could affect whether sales as well as risks that consumers have insufficient The Group’s 1P retail business of the Polish Opera- and stock levels t",Transitional,
3db08ef0,HelloFresh,2025,210,"In addition to our Code of Ethics, we have implemented further Group-wide compliance policies specifying our standards and expectations regarding ethical trading, anti-corruption and bribery, competition laws, capital market compliance, information security, and Generative Artificial Intelligence. U",Symbolic,
ae8c0b87,ASOS,2023,27,"We could also retender to seek We could also fail to implement or take full advantage of these better price alternatives for goods and services at appropriate technologies, potentially reducing our competitiveness and break points in agreements. increasing other costs, such as through GHG taxation. ",Symbolic,
86ac3e2c,Allegro,2021,50,"optimising for incremental impact on GMV and total class technology development team (including AI/ increase monetization per visit through develop- returns relative to the on balance sheet loan book machine learning teams, product teams, and design ing Ceneo checkout services and optimizing traffic",Symbolic,
5e5da171,Zalando,2024,12,"The ordinary meeting on 5 September 2024 focused on strategic updates. In particular, the supervisory board dealt with the inspiration and entertainment pillar in the group’s B2C strategy as well as the logistics network strategy 2028 updated according to the company’s new strategic ambitions. The s",Symbolic,
e46b6ded,AO World,2022,19,Technology and automation Responsible retailing continue to be crucial to the online is gaining traction shopper experience A growing population of younger shoppers are wielding influence on consumer spending and pushing Emerging retail technology trends are shifting the the agenda on responsible re,Symbolic,
a5cf77d8,AO World,2024,25,"Information is vital to the effective and efficient operation of our business and, as such, this year we will continue to enhance business decisions across the business using advanced analytics, machine learning and artificial intelligence. Technology will also play a key role in enhancing customer ",Symbolic,
d94cf109,HelloFresh,2025,47,"HelloFresh is well positioned to take advantage from structural shift in consumer behavior: rising demands towards healthy and high-quality food consumption, personalized nutrition options, as well as the transition towards more sustainable food choices. By leveraging our established competitive adv",Symbolic,
