q1_named_function,q1_score,q2_measurable_outcome,q2_score,q3_tense,q3_score,classification_score,classification,justification,passage_id,firm,year,page_number,tier,source_document,source_type,llm_model,passage_text,validation_sample,human_label,agreement
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"The passage references AI only as a generic potential threat and opportunity whose benefits and risks are 'still yet to be fully understood,' matching automatic Symbolic category (c) — a risk disclosure about AI as an industry threat — with no named application, no measurable outcome, and no current deployment.",f5be60a7,AO World,2024,49,tier1,AOWorld_2024.pdf,annual_report,claude-sonnet-4-6,"y The transitional risks of climate change; as we seek to move towards reducing our carbon footprint and operating in a more environmentally friendly way, we could face Control and mitigation increased operating costs and inefficiencies. The Group has in place an £80m Revolving Credit Facility y Whi",no,,
NO,0,NO,0,MIXED,1,1,Symbolic,"The passage contains only generic AI language ('starting to harness this developing technology') with no named AI application or function, and also references AI as a potential industry threat — both of which satisfy automatic Symbolic criteria (categories d and g); the financial figures present relate to credit facilities, not AI outcomes.",c2713fdc,AO World,2024,49,tier1,AOWorld_2024.pdf,annual_report,claude-sonnet-4-6,"The Group has in place an £80m Revolving Credit Facility y Whilst an opportunity in many ways, the benefits and which has been extended with the existing lenders to April potential threats that Artificial Intelligence (AI) may pose 2027. Given the profitable performance of the Group over are still y",no,,
NO,0,NO,0,MIXED,1,1,Symbolic,"The passage references 'expanding use of machine learning' and a 'Centre platform' for customer support, but neither constitutes a specifically named AI application with a defined function; the language remains generic and no measurable outcomes are provided, yielding a score of 1.",a1debfd1,AO World,2025,18,tier1,AOWorld_2025.pdf,annual_report,claude-sonnet-4-6,Centre platform that will improve customer support experience and operational insight. 3. Ongoing overhead control We also made progress in our data and analytics We maintain our disciplined approach to overhead strategy—expanding our use of machine learning cost control.,no,,
YES,1,NO,0,MIXED,1,2,Transitional,"The passage names specific AI applications — machine learning and advanced analytics used to inform business decisions and enable personalised customer interactions — and references current/ongoing deployment, but provides no quantified metrics or measurable outcomes linked to these applications.",74e8fae5,AO World,2025,18,tier_1_and_2,AOWorld_2025.pdf,annual_report,claude-sonnet-4-6,3. Ongoing overhead control We also made progress in our data and analytics We maintain our disciplined approach to overhead strategy—expanding our use of machine learning cost control. We are investing in making operational and advanced analytics to inform business efficiencies to deal with inflati,no,,
YES,1,NO,0,MIXED,1,2,Transitional,"The passage names specific AI applications — machine learning and advanced analytics used to inform business decisions and enable personalised customer interactions — and references current/ongoing deployment, but provides no quantified metrics or measurable outcomes linked to these applications.",0ff4ae86,AO World,2025,18,tier_1_and_2,AOWorld_2025.pdf,annual_report,claude-sonnet-4-6,Ongoing overhead control We also made progress in our data and analytics We maintain our disciplined approach to overhead strategy—expanding our use of machine learning cost control. We are investing in making operational and advanced analytics to inform business efficiencies to deal with inflationa,no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"The passage references 'data and artificial intelligence' only generically to 'deliver the most engaging customer experience' with no named AI application, no measurable outcome, and the language is future/aspirational ('we will improve'), satisfying the automatic Symbolic criterion of a pure aspirational statement with no named application.",86e32a52,ASOS,2021,11,tier_1_and_2,ASOS_2021.pdf,annual_report,claude-sonnet-4-6,"We expect performance in the next 12 months to be more muted given the current consumer • Building an industry-leading position in tackling customers for greater choice in responsible fashion. dynamics, but we remain confident that this is a Original ambition for FY21 modern slavery throughout our s",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"The passage references 'data and artificial intelligence' only generically to 'deliver the most engaging customer experience' with no named AI application, no measurable outcome, and the language is aspirational ('we will improve'), satisfying automatic Symbolic criterion g and scoring 0 across all three diagnostic questions.",11bb3759,ASOS,2021,11,tier_1_and_2,ASOS_2021.pdf,annual_report,claude-sonnet-4-6,"dynamics, but we remain confident that this is a Original ambition for FY21 modern slavery throughout our supply chain From that focus, ASOS has set two overarching pillars, We will improve our inspiring and personalised Planet and People, which are underpinned by four long-term growth driver for AS",no,,
NO,0,NO,0,MIXED,1,1,Symbolic,"The passage references 'data and artificial intelligence' only generically in relation to customer experience with no named AI application or system, and the surrounding content concerns sustainability, circular design, and logistics trials unrelated to a specific AI deployment.",1d6b8931,ASOS,2021,11,tier1,ASOS_2021.pdf,annual_report,claude-sonnet-4-6,"customer experience through the application of data • The co-founding of the Fast Forward auditing key goals: The development and rollout of our flexible and and artificial intelligence to deliver the most engaging programme, designed to tackle issues in UK multi-brand platform continued at pace. In",no,,
NO,0,NO,0,CURRENT,1,1,Symbolic,The only AI reference is a subsidiary listing — 'Action Artificial Intelligence Limited' appears as a company name in an equity interest disclosure with no operational description — triggering Automatic Symbolic category (f).,f22949b7,ASOS,2021,67,tier1,ASOS_2021.pdf,annual_report,claude-sonnet-4-6,"Accordingly, this is shown as an increase (2020: increase) in the capital contribution 1 ASOS.com Limited has a 7.2% interest in Needle and Thread Design Holdings Limited. balance in the table below. 2 ASOS Projects Limited has a 3.4% interest in Action Artificial Intelligence Limited.",no,,
NO,0,NO,0,CURRENT,1,1,Symbolic,"The passage references only a subsidiary listing — 'Action Artificial Intelligence Limited' — with a percentage ownership stake, but contains no operational description, named AI application, or measurable outcome, triggering the automatic Symbolic category under Step 2(f).",ac9dd7b9,ASOS,2021,67,tier1,ASOS_2021.pdf,annual_report,claude-sonnet-4-6,"balance in the table below. 2 ASOS Projects Limited has a 3.4% interest in Action Artificial Intelligence Limited. Capital Investment contribution Total ASOS Intermediate Holdings Limited, Mornington & Co (No.",no,,
NO,0,NO,0,CURRENT,1,1,Symbolic,"The passage references only a subsidiary listing — a 3.4% equity interest in a company whose name contains 'Artificial Intelligence' — with no operational description of any AI application, triggering the automatic Symbolic category under Step 2(f).",f541921f,ASOS,2021,67,tier1,ASOS_2021.pdf,annual_report,claude-sonnet-4-6,"2 ASOS Projects Limited has a 3.4% interest in Action Artificial Intelligence Limited. Capital Investment contribution Total ASOS Intermediate Holdings Limited, Mornington & Co (No. 1) Limited and Mornington & Co (No.",no,,
NO,0,NO,0,MIXED,1,1,Symbolic,The passage references Microsoft Azure and 'AI capabilities' only generically — no specific named AI application or function is identified — qualifying only as vague aspirational AI language despite the current/mixed deployment context.,8646e810,ASOS,2022,19,tier1,ASOS_2022.pdf,annual_report,claude-sonnet-4-6,"Health-related life Anti-Slavery Microsoft events policies International Cloud We launched a new package of policies to In January, we signed a new three-year February saw us sign a new cloud agreement provide crucial support to colleagues of all partnership to 2025 with Anti-Slavery with Microsoft ",no,,
NO,0,NO,0,CURRENT,1,1,Symbolic,"The passage is heavily fragmented and incoherent, mixing unrelated topics (pregnancy loss, menopause, anti-slavery) with a vague reference to Microsoft Azure and 'AI capabilities' that names no specific AI application and provides no measurable outcome, resulting in a score of 1 and a Symbolic classification.",eebc1024,ASOS,2022,19,tier1,ASOS_2022.pdf,annual_report,claude-sonnet-4-6,"Harnessing Microsoft Azure and pregnancy loss, the menopause, cancer ambitious Fashion with Integrity programme. its AI capabilities enables us to unlock new treatment, gender reassignment surgery or Anti-Slavery International has acted as ASOS’ experiences and tech capabilities, such as domestic vi",no,,
NO,0,NO,0,CURRENT,1,1,Symbolic,"FRAGMENTED TEXT — the passage is heavily fragmented and incoherent, with 'AI capabilities' mentioned only in passing alongside unrelated topics (gender reassignment surgery, domestic violence, Anti-Slavery International), with no named AI application or measurable outcome extractable from the readable content.",bc698594,ASOS,2022,19,tier1,ASOS_2022.pdf,annual_report,claude-sonnet-4-6,"its AI capabilities enables us to unlock new treatment, gender reassignment surgery or Anti-Slavery International has acted as ASOS’ experiences and tech capabilities, such as domestic violence, enabling ASOSers to take ‘critical friend’ since 2017, providing advice, ASOS’ Partner Fulfils programme,",no,,
NO,0,NO,0,CURRENT,1,1,Symbolic,"The only AI-related content is a subsidiary listing — 'Action Artificial Intelligence Limited' — with a 2.9% interest held by ASOS Projects Limited, which falls under the automatic Symbolic category (f) as a company name containing 'AI' with no operational description of any AI application or function.",8ed6c7ff,ASOS,2022,161,tier1,ASOS_2022.pdf,annual_report,claude-sonnet-4-6,Netherlands 100% Payment processing company ASOS Payments Holdings Limited UK 100% Holding company Cornwall (Jersey) Limited Jersey 100% Vehicle for issue of convertible bond ASOS Holdings Limited UK 90% Brand management company 1 ASOS.com Limited has a 7.2% interest in Needle and Thread Design Hold,no,,
NO,0,NO,0,CURRENT,1,1,Symbolic,Automatic Symbolic applied under Step 2(f): the only AI reference is a subsidiary/investment listing ('Action Artificial Intelligence Limited') with no operational description of any AI application or deployment.,9b6d1b22,ASOS,2022,161,tier1,ASOS_2022.pdf,annual_report,claude-sonnet-4-6,"2 ASOS.com additionally has a branch registered in the Netherlands. 3 ASOS Projects Limited has a 2.9% interest in Action Artificial Intelligence Limited. ASOS Intermediate Holdings Limited, Mornington & Co (No.",no,,
NO,0,NO,0,CURRENT,1,1,Symbolic,"Automatic Symbolic applied under Step 2(f): the passage is a subsidiary/investment listing referencing 'Action Artificial Intelligence Limited' by name only, with no operational description of any AI application or function.",03f36120,ASOS,2022,161,tier1,ASOS_2022.pdf,annual_report,claude-sonnet-4-6,"3 ASOS Projects Limited has a 2.9% interest in Action Artificial Intelligence Limited. ASOS Intermediate Holdings Limited, Mornington & Co (No. 1) Limited, Mornington & Co (No.",no,,
NO,0,NO,0,CURRENT,1,1,Symbolic,"Although data science and machine learning are mentioned in a current deployment context, no specific named AI application or function is identified — only generic capability language ('deploy across our business areas', 'improve the customer experience') — and no measurable outcomes are provided, resulting in a score of 1 and a Symbolic classification.",d17506a9,ASOS,2023,13,tier1,ASOS_2023.pdf,annual_report,claude-sonnet-4-6,"One aspect of this is better prioritisation, ensuring we are allocating resource to projects that will generate a return. This culture of operational excellence will be aided by increased access to an improved use of data throughout our organisation and we continue to innovate in this area. We conti",no,,
NO,0,NO,0,CURRENT,1,1,Symbolic,"The passage references 'data science and machine learning capabilities' only generically without naming any specific AI application or function, and provides no measurable outcomes, resulting in a score of 1 which falls within the Symbolic threshold.",adb406d3,ASOS,2023,13,tier1,ASOS_2023.pdf,annual_report,claude-sonnet-4-6,This culture of operational excellence will be aided by increased access to an improved use of data throughout our organisation and we continue to innovate in this area. We continue to develop our data science and machine learning capabilities which we deploy across our business areas and to improve,no,,
NO,0,NO,0,CURRENT,1,1,Symbolic,"The passage references 'data science and machine learning capabilities' only generically across 'business areas' and 'customer experience' without naming any specific AI application or function, and the subsequent discussion of returns policy contains no quantified AI-linked outcome, yielding a score of 1 which falls within the Symbolic range.",739dce82,ASOS,2023,13,tier1,ASOS_2023.pdf,annual_report,claude-sonnet-4-6,"We continue to develop our data science and machine learning capabilities which we deploy across our business areas and to improve the customer experience. A key focus area is returns. While we continue to believe that free returns are a core part of our customer proposition, there are good returns ",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"AI is mentioned only generically as 'Artificial Intelligence and advanced analytics' in a risk/opportunity commentary context with no named specific application, no measurable outcomes, and only aspirational language about potential future competitive advantage.",ae8c0b87,ASOS,2023,27,tier1,ASOS_2023.pdf,annual_report,claude-sonnet-4-6,"We could also retender to seek We could also fail to implement or take full advantage of these better price alternatives for goods and services at appropriate technologies, potentially reducing our competitiveness and break points in agreements. increasing other costs, such as through GHG taxation. ",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"The passage references AI and advanced analytics only generically as a future opportunity to respond to demand and reduce waste, with no named specific AI application, no measurable outcomes, and no evidence of current deployment.",7b135ba8,ASOS,2023,27,tier1,ASOS_2023.pdf,annual_report,claude-sonnet-4-6,"increasing other costs, such as through GHG taxation. Opportunity: Reacting quickly to embrace new technologies There is also a risk that suppliers pass on the associated cost of could ensure we retain competitive advantage, for example the their investment in this technology to us, which could incr",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"The passage references AI and advanced analytics only generically as a future opportunity to respond to demand and reduce waste, with no named specific AI application, no quantified outcomes, and no evidence of current deployment.",2c01f5af,ASOS,2023,27,tier1,ASOS_2023.pdf,annual_report,claude-sonnet-4-6,"Opportunity: Reacting quickly to embrace new technologies There is also a risk that suppliers pass on the associated cost of could ensure we retain competitive advantage, for example the their investment in this technology to us, which could increase our use of Artificial Intelligence and advanced a",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"The passage references AI and Machine Learning only generically as an industry-wide horizon risk ('accelerated use of Artificial Intelligence and Machine Learning across all industries') with no named specific AI application deployed by ASOS, no measurable outcomes, and the framing is forward-looking risk commentary rather than current deployment — triggering automatic Symbolic under Step 2 criteria (c) and (d), confirmed by a score of 0.",77e09716,ASOS,2023,53,tier1,ASOS_2023.pdf,annual_report,claude-sonnet-4-6,"• Providing regular training to ASOSers on relevant legislative or regulatory requirements, including an annual compliance passport which all ASOSers are required to undertake to ensure they are aware of their responsibilities. Risks on our horizon • The accelerated use of Artificial for the start o",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"The passage contains only generic risk disclosure commentary about AI and Machine Learning disrupting industries broadly, with no named specific AI application, no measurable outcomes, and no evidence of current deployment — triggering Automatic Symbolic category (c) as an industry-level AI risk disclosure.",ba981cd8,ASOS,2023,53,tier1,ASOS_2023.pdf,annual_report,claude-sonnet-4-6,"Risks on our horizon • The accelerated use of Artificial for the start of our FY26 period. As for Intelligence and Machine Learning across many affected businesses, based on A key part of our Risk Management approach all industries with both free and cost- current understanding the changes is identi",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"The passage contains only fragmented industry-level commentary about AI and machine learning as a broad market risk and transformation challenge, with no named specific AI application, no measurable outcomes, and no evidence of current deployment — qualifying under automatic Symbolic category (d) as macroeconomic/industry-level AI commentary.",bf8dcffc,ASOS,2023,53,tier1,ASOS_2023.pdf,annual_report,claude-sonnet-4-6,"As for Intelligence and Machine Learning across many affected businesses, based on A key part of our Risk Management approach all industries with both free and cost- current understanding the changes is identifying, monitoring and planning effective off-the-shelf tools coming to ASOS must make are b",no,,
NO,0,NO,0,CURRENT,1,1,Symbolic,"The only AI-related content is a subsidiary listing noting a 2.9% interest in 'Action Artificial Intelligence Limited', which triggers the automatic Symbolic category under Step 2(f) — a company name containing 'AI' with no operational description provided.",ca1ce1f8,ASOS,2023,168,tier1,ASOS_2023.pdf,annual_report,claude-sonnet-4-6,Limited China 100% Indirect Discontinued internet retailer ASOS Payments UK Limited UK 100% Indirect Payment processing company ASOS Payments Europe B.V. Netherlands 100% Indirect Payment processing company ASOS Payments Holdings Limited UK 100% Indirect Holding company Cornwall (Jersey) Limited Jer,no,,
NO,0,NO,0,CURRENT,1,1,Symbolic,"The only AI reference is a subsidiary listing noting a 2.9% interest in 'Action Artificial Intelligence Limited,' which triggers the automatic Symbolic category under Step 2(f) as a company name containing 'AI' with no operational description provided.",f76aa1ca,ASOS,2023,168,tier1,ASOS_2023.pdf,annual_report,claude-sonnet-4-6,Netherlands 100% Indirect Payment processing company ASOS Payments Holdings Limited UK 100% Indirect Holding company Cornwall (Jersey) Limited Jersey 100% Indirect Vehicle for issue of convertible bond ASOS Holdings Limited UK 90% Indirect Brand management company 1 ASOS.com Limited has a 7.2% inter,no,,
NO,0,NO,0,CURRENT,1,1,Symbolic,"The passage is a subsidiary listing where 'Action Artificial Intelligence Limited' appears only as a company name with a percentage ownership interest, with no operational AI description — triggering automatic Symbolic under Step 2 criterion (f).",7f6b8ec0,ASOS,2023,168,tier1,ASOS_2023.pdf,annual_report,claude-sonnet-4-6,2 ASOS.com Limited additionally has a branch registered in the Netherlands 3 ASOS Projects Limited has a 2.9% interest in Action Artificial Intelligence Limited. All UK incorporated entities share the same registered office as ASOS Plc and non-UK entities’ registered offices are detailed below: Enti,no,,
NO,0,NO,0,CURRENT,1,1,Symbolic,"The only AI reference is a subsidiary listing — 'Action Artificial Intelligence Limited' — with no operational description, named AI application, or measurable outcome, triggering the automatic Symbolic category under Step 2(f).",655b98c7,ASOS,2024,186,tier1,ASOS_2024.pdf,annual_report,claude-sonnet-4-6,Netherlands 100% Indirect Payment processing company ASOS Payments Holdings Limited UK 100% Indirect Holding company Cornwall (Jersey) Limited Jersey 100% Indirect Vehicle for issue of convertible bond ASOS Holdings Limited UK 90% Indirect Brand management company 1 ASOS.com Limited has a 7.2% inter,no,,
NO,0,NO,0,CURRENT,1,1,Symbolic,Automatic Symbolic applied under Step 2(f): the only AI reference is a subsidiary listing — 'Action Artificial Intelligence Limited' — with no operational description of any AI application or deployment.,f2254498,ASOS,2024,186,tier1,ASOS_2024.pdf,annual_report,claude-sonnet-4-6,2 ASOS.com Limited additionally has a branch registered in the Netherlands. 3 ASOS Projects Limited has a 2.9% interest in Action Artificial Intelligence Limited. 186 ASOS PLC  ANNUAL REPORT AND ACCOUNTS 2024,no,,
NO,0,NO,0,CURRENT,1,1,Symbolic,"This passage is a subsidiary/investment listing — ASOS Projects Limited holds a 2.9% interest in a company whose name contains 'AI' — but no operational AI description is provided, triggering automatic Symbolic classification under Step 2 criterion (f).",142b2051,ASOS,2024,186,tier1,ASOS_2024.pdf,annual_report,claude-sonnet-4-6,3 ASOS Projects Limited has a 2.9% interest in Action Artificial Intelligence Limited. 186 ASOS PLC  ANNUAL REPORT AND ACCOUNTS 2024,no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"AI is mentioned only generically as an emerging risk with potential impact on the Group, with no named specific AI application, no measurable outcomes, and no evidence of current deployment — this is a risk disclosure framing consistent with Automatic Symbolic category (c).",26b5a22f,ASOS,2025,57,tier1,ASOS_2025.pdf,annual_report,claude-sonnet-4-6,"understanding of our emerging risks. Whilst continuing work is needed to Risks assigned Risk Averse risk appetites should be develop potential responses based on managed more conservatively, have stronger and possible scenarios, key focus areas in our more formal controls and increased focus for dis",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"The passage references AI only in the context of risk appetite governance frameworks and its potential impact on group risks, with no named AI application, no measurable outcomes, and no evidence of current deployment — matching automatic Symbolic category (b) and (c) for regulatory/risk disclosure language.",3352a5b1,ASOS,2025,57,tier1,ASOS_2025.pdf,annual_report,claude-sonnet-4-6,"Whilst continuing work is needed to Risks assigned Risk Averse risk appetites should be develop potential responses based on managed more conservatively, have stronger and possible scenarios, key focus areas in our more formal controls and increased focus for discussions included: assurance activiti",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"The passage references AI only as a broad risk factor with potential impact across strategic and compliance areas, with no named AI application, no measurable outcomes, and no evidence of current deployment — triggering Automatic Symbolic category (c): risk disclosure about AI as an industry/organisational threat.",fc3ea742,ASOS,2025,57,tier1,ASOS_2025.pdf,annual_report,claude-sonnet-4-6,"Risks assigned Opportunity Seeking risk appetites relate to areas we are more  The evolution of artificial intelligence (AI) likely to take risk for reward, can have less formal and and the potential impact it could have on more limited controls and might not be subject to numerous risks to our Gro",no,,
NO,0,NO,0,CURRENT,1,1,Symbolic,"This passage is a board biography fragment referencing a person's expertise in AI and machine learning at a previous employer (Google), triggering the automatic Symbolic category under Step 2(e) — biography reference to AI experience at a prior employer, with no named operational AI application described.",8e7a886b,ASOS,2025,74,tier1,ASOS_2025.pdf,annual_report,claude-sonnet-4-6,"development and revitalised the clothing innovation, growth and operational Before joining Google in 2019, Marie held brand as Trading Director. Christine has excellence. She brings deep expertise the roles of Chief Marketing Officer at held Board positions with numerous listed, in AI and machine le",no,,
NO,0,NO,0,CURRENT,1,1,Symbolic,"This is a biography reference describing a board or executive member's background expertise in AI and machine learning at previous employers, triggering automatic Symbolic classification under Step 2 criterion (e), with no named operational AI application or measurable outcome present.",4c7db932,ASOS,2025,74,tier1,ASOS_2025.pdf,annual_report,claude-sonnet-4-6,"Christine has excellence. She brings deep expertise the roles of Chief Marketing Officer at held Board positions with numerous listed, in AI and machine learning, product Calvin Klein Inc and Chief Digital Officer private and PE-backed businesses such as strategy and scalable systems to at PVH Corp,",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"This is a board biography passage referencing a director's prior expertise in AI and machine learning at previous employers, triggering Automatic Symbolic category (e) — biography reference with no named operational AI application deployed by the reporting company.",c1cf7944,ASOS,2025,74,tier1,ASOS_2025.pdf,annual_report,claude-sonnet-4-6,"She brings deep expertise the roles of Chief Marketing Officer at held Board positions with numerous listed, in AI and machine learning, product Calvin Klein Inc and Chief Digital Officer private and PE-backed businesses such as strategy and scalable systems to at PVH Corp, its Parent Company. Marie",no,,
