passage_id,firm,year,page_number,passage_text,classification,human_label
9b4dddf4,Allegro,2021,89,ALLEGRO.EU S.A. GROUP CONSOLIDATED MANAGEMENT REPORT for the years ended 31 December 2021 WORKS ON THE NEW EU LEGAL The following items illustrate selected areas of data CYBERSECURITY While fines for individual breaches that may be FRAMEWORK FOR AI privacy protection which are of particular relevanc,Symbolic, Symbolic
0fe31ad4,ASOS,2023,13,"One aspect of this is better prioritisation, ensuring we are allocating resource to projects that will generate a return. This culture of operational excellence will be aided by increased access to an improved use of data throughout our organisation and we continue to innovate in this area. We conti",Transitional, Symbolic
73aec12e,Allegro,2023,165,"General Ensuring accessibility on our e-commerce platform Disclosures 2-2 Entities included in the organization’s Part V. Approach to Environmental, Social and 2021 sustainability reporting Governance Issues Machine learning models make it possible to in- remains a top priority as we strive to creat",Transitional, Symbolic
189b82e5,Allegro,2025,43,"We expanding our operations in the CEE region, and local markets but throughout Europe. by applying advanced technology solutions such as aim to provide a straightforward and trustworthy subsequently, across all of Europe. To ensure that machine learning, artificial intelligence and robotics.",Symbolic,Symbolic
c668c1c1,Allegro,2025,166,"GROUP CONSOLIDATED MANAGEMENT REPORT for the year ended 31 December 2025 2.4 Material impacts, risks and opportunities (IRO) for Governance Governance information Type of material Value chain Material topic IRO Material IRO part Corporate Risk Insufficient corporate governance and ethical frameworks",Symbolic, Symbolic
ffe9fd7f,Allegro,2025,73,"• Output created by artificial intelligence may contain content that is inappropriate, unethical or violating the law, which may result in the Group suffering consequences, i.a. legal or PR related. Strategic risk link Potential impacts of AI • Output created by artificial intelligence may be incorr",Symbolic, Symbolic
a2aef007,HelloFresh,2025,19,"In 2025 we spent MEUR 199.1, or 2.9% in percentage of revenue (2024: MEUR 179.5, or 2.3% as percentage of revenue) on technology, which includes salaries for our developers and data engineers. In 2025, HelloFresh Group capitalized MEUR 47.4 (or 23.8% of total technology expenditure) of technology co",Substantive, Transitional
315c8550,Allegro,2025,73,"If these risks materialize, they could significantly hinder the successful execution of the Group’s strategy, negatively affecting its financial performance and market expansion goals. • Output created by artificial intelligence may contain content that is inappropriate, unethical or violating the l",Symbolic, Symbolic
e5492c06,Allegro,2023,97,"Disruptions in the machine learning tools, any failure to avoid or limit or other factors cause the Group to significantly marketing spend with new platform strategy to functioning of the Group’s e-commerce marketplace losses from fraudulent transactions could damage increase its 1P retail business ",Symbolic, Symbolic
a883e833,Boozt,2021,18,Both brands will play an important role in developing critical intra-company shipments is instrumental for a low environmental impact as skills within the fashion value chain for Boozt. well as guaranteeing fast and easy deliveries for our customers. To make the experience of shopping on our webstor,Transitional, Symbolic
2db7183b,Allegro,2021,76,Although the Group insures If the transaction is not finalized before the end user claims that purchases or payments were not Inventory risk may adversely affect the Group’s op- itself against such losses to a level and at a cost it of the Acquired Entities’ fiscal year 2022 (ending properly authori,Transitional, Symbolic
da5086e2,Redcare Pharmacy,2024,10,"Dedicated product teams ensure we maintain high agility, the process. enabling quick enhancements to our digital front-end and personalised services, all while continuously analysing data to refine our strategies. Artificial Intelligence will play a crucial role in our journey ahead.",Symbolic, Symbolic
513b8a27,Mytheresa,2022,77,"Tesla, Inc. in Palo Alto, California, as Vice President Global Supply Chain. Prior to his departure from Tesla in December 2020, he was actively involved in helping to develop future global topics such as mobility, energy, artificial intelligence and Industry 4.0.",Symbolic, Symbolic
c8e14327,Moonpig,2024,83,training on artificial intelligence. No additional training needs were identified during the Board’s annual evaluation. • Received regular corporate governance updates and an update on culture and values.,Symbolic, Symbolic
17e8d287,Boozt,2023,16,"enhancing product descriptions and size recommendations. These in distribution, fulfilment, payment solutions, as well as marketing improvements are made possible through the utilization of big and media. Continuous focus on the Nordics data and machine learning.",Transitional, Transitional 
8f7bae1c,Moonpig,2025,102,"Additional training is available on request, where appropriate, so that Directors can update their skills and knowledge as applicable. During FY25, the Board requested training on artificial intelligence, which was delivered during the year. No other training needs were identified during this year’s",Symbolic, Symbolic
7a37e5bd,Allegro,2023,114,"ALLEGRO.EU S.A. GROUP CONSOLIDATED MANAGEMENT REPORT for the year ended 31 December 2023 WORKS ON THE NEW EU LEGAL CONSUMER CREDIT REGULATIONS PRODUCT SAFETY FRAMEWORK FOR AI Works on the review of EU Consumer Credit Di- Retailers who place products on the market in the In Poland, the Directive on P",Symbolic, Symbolic
8da81300,AO World,2024,25,"Priorities for FY25 This year will see us begin the second phase of our Enterprise Resource Planning transformation, which will ultimately streamline our business operations and give us a solid foundation for future growth. We will continue our application modernisation agenda, replacing other key s",Symbolic, Symbolic
25b2c81f,Allegro,2021,71,"types of goods that merchants offer on its mar- the foregoing were to occur, the Group's business, ANTICIPATED GROWTH EFFECTIVELY. In addition, machine learning and other forms of ketplace. The popularity of certain categories of results of operations and financial conditions could artificial intell",Symbolic, Symbolic
1b3276ab,Redcare Pharmacy,2025,29,"in generative AI, we are accelerating our AI strategy to enhance efficiency, reduce costs and introduce innovative features. This involves both custom in-house solutions and the In 2025, we expanded our footprint with the addition of our new facility in Pilsen, which adoption of leading external tec",Transitional, Transitional
8e2828f5,Zalando,2024,91,"Building on a successful partnership, Zalando and OpenAI will continue collaborating to develop even more generative AI solutions for the fashion industry. Zalando SE ANNUAL REPORT 2024",Symbolic, Symbolic
34d8830d,Allegro,2025,166,"It concerns two areas: Allegro also identified a significant risk related to marketplace (3P) and e-commerce sales in own shop insufficient corporate governance and ethical frame- (1P) related activities in Poland, the Czech Republic, • Corporate governance transparency works on artificial intellige",Transitional, Symbolic
c9560ab9,Allegro,2021,71,"In addition, machine learning and other forms of ketplace. The popularity of certain categories of results of operations and financial conditions could artificial intelligence are transforming aspects of items, such as computer and electronic products, be materially adversely affected. The rapid gro",Transitional, Symbolic
38a2717e,Allegro,2023,165,"ALLEGRO.EU S.A. GROUP CONSOLIDATED MANAGEMENT REPORT for the year ended 31 December 2023 Allegro also has an image search mechanism in New technology solutions are also helpful for mer- GRI content index its mobile app – the system presents products on chants, as the use of a machine learning model ",Substantive, Transitional 
104f00a9,THG,2023,17,"This time, THG Ingenuity built delivery timeframe 2023 the software capability to drive all automated instruction Product Digital Asset Campaign Basket 3P Marketplace Omni-channel Customer Reporting itself as an incremental adaptation to its own WMS Information Management System Management Optimisat",Substantive, Transitional
868e929b,Allegro,2021,50,"term, the Group aims to grow Allegro loans written years. The Ceneo management team has responded Full customer eligibility drove further acceleration to approximately 20% of annual marketplace GMV, The Group is a technology business with a world- to these challenges by focusing on investments to in",Substantive, Symbolic
88498c21,Allegro,2023,164,"The team specifically concentrated on image representation learning for Visual Search and the development of robust image classification • 2,243 workers in Technology team in an environment where digital tools streamline Computer Vision models. Presently, its research is focused on the integration o",Substantive, Substantive
6033a4ad,ASOS,2025,176,2 ASOS.com additionally has a branch registered in the Netherlands. 3 ASOS Projects Limited has a 2.9% interest in Action Artificial Intelligence Limited. All controlled UK incorporated entities share the same registered office as ASOS Plc.,Transitional, Symbolic
56e26e75,Redcare Pharmacy,2025,54,"External stakeholders were given the chance to extend the shortlist in the next Planet Earth Extensive desk research screening phase to make sure that no concerning aspect had been overlooked in phase four and to environmental data by leveraging apply our qualitative threshold, as defined in the sho",Transitional, Symbolic
f31af4f6,HelloFresh,2025,186,"GenAI Literacy In 2025, we launched a Global AI Strategy initiative that focuses on upskilling our salaried employees across functions on the fundamentals of Artificial Intelligence (AI). The objective is to cultivate an AI-literate organization capable of identifying and implementing AI-driven effi",Transitional, Transitional 
7432a7ae,Allegro,2021,76,"While the Group has changes in user demand and user spending pat- Group cannot guarantee that all material events of of Austria, Montenegro, North Macedonia, Russia, implemented a fraud detection system based on terns, changes in consumer tastes with respect to damage or loss will be fully or adequa",Transitional, Transitional 
910ae3c6,Zalando,2025,77,"2.2 Report on economic position 2.2.1 Macroeconomic and sector-specific environment In 2025 the global economy proved more resilient than expected, despite persistent underlying fragilities. Growth was primarily bolstered by a front-loading of production, robust investment in artificial intelligence",Symbolic, Symbolic
f7501d1d,Moonpig,2024,64,"Examples of emerging risks that we continue to monitor include: • The pace of technological change with regards to Artificial Intelligence. Our current assessment it that this presents significant opportunities, however we remain vigilant with respect to future developments that might impact either ",Symbolic, Symbolic
4938eec4,Zalando,2023,76,"We are excited to see how we can leverage generative AI in new ways to make our customer experience even more engaging. Partners The strength of Zalando’s brand partnerships and our platform approach have always been an integral part of our business strategy. Thousands of globally recognized, locall",Symbolic, Symbolic
2b66d1f9,Allegro,2022,86,"Any disruption in the properly authorised or were transmitted in error, of these operations by optimising the 1P selection availability of their service could affect whether sales as well as risks that consumers have insufficient The Group’s 1P retail business of the Polish Opera- and stock levels t",Transitional, Symbolic
72a97cbc,Allegro,2025,169,"These The data comes from the internal register of court cases and concerns reports in 2025. misleading consumers regarding the campaign’s ambassadors provide guidance, answer questions, positive environmental impact. The organization is and help in AI adoption.",Transitional, Symbolic
